temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,et0_fao_evapotranspiration,date
10.6,2.3,6.0,2.6,19.1,1.59,2016-03-22
10.5,3.9,6.7,13.1,20.6,1.54,2016-03-23
13.6,2.0,7.3,6.8,24.0,1.16,2016-03-24
15.3,7.1,10.3,5.0,16.9,1.4,2016-03-25
7.8,4.0,6.1,0.0,16.1,1.19,2016-03-26
7.6,1.2,4.4,0.7,15.8,1.49,2016-03-27
9.4,-0.0,4.7,0.0,12.6,1.73,2016-03-28
11.2,2.5,6.3,0.0,9.7,1.86,2016-03-29
11.9,1.8,6.7,0.0,9.4,1.85,2016-03-30
11.7,2.5,7.1,0.0,17.6,2.04,2016-03-31
15.0,6.4,10.3,0.0,29.2,3.19,2016-04-01
10.9,4.0,8.4,3.7,38.8,2.65,2016-04-02
9.5,3.1,6.3,0.6,28.6,2.41,2016-04-03
11.0,4.0,7.4,0.0,24.4,2.25,2016-04-04
14.9,4.4,9.2,0.0,18.9,2.8,2016-04-05
16.3,3.2,10.0,0.0,7.1,2.79,2016-04-06
18.5,4.5,12.1,0.0,12.1,3.36,2016-04-07
21.2,4.4,13.5,0.0,9.3,3.47,2016-04-08
20.7,8.7,14.7,0.0,26.1,4.37,2016-04-09
20.3,8.4,14.3,0.0,29.3,4.25,2016-04-10
20.0,10.3,15.0,0.1,14.2,3.07,2016-04-11
21.5,9.1,15.7,0.0,9.8,3.27,2016-04-12
20.4,10.7,15.2,0.3,13.5,2.73,2016-04-13
16.5,10.5,13.4,5.0,22.6,1.84,2016-04-14
18.8,9.2,13.7,0.5,16.6,2.77,2016-04-15
13.5,9.7,11.8,4.3,25.3,1.68,2016-04-16
18.1,7.9,12.9,0.0,20.3,3.41,2016-04-17
20.0,9.1,14.3,0.0,23.4,3.84,2016-04-18
20.1,11.9,15.5,0.5,20.9,3.32,2016-04-19
20.0,12.2,16.1,3.7,22.3,2.94,2016-04-20
18.0,7.2,11.5,1.8,33.9,3.06,2016-04-21
11.8,5.2,9.0,0.0,30.4,3.19,2016-04-22
16.4,7.7,11.6,0.0,27.8,3.66,2016-04-23
19.7,8.5,14.3,0.0,28.0,4.31,2016-04-24
20.4,11.6,15.2,1.3,27.8,2.82,2016-04-25
18.9,11.1,14.6,0.3,19.8,2.6,2016-04-26
18.7,12.2,14.6,5.0,22.0,2.76,2016-04-27
16.3,11.5,13.4,0.3,28.0,2.72,2016-04-28
18.2,10.3,14.3,0.0,12.3,2.72,2016-04-29
19.3,9.3,14.5,1.7,11.2,3.45,2016-04-30
17.0,8.7,13.0,0.4,16.3,2.88,2016-05-01
17.9,7.2,13.0,0.0,13.0,3.98,2016-05-02
17.8,7.4,12.9,0.0,17.5,4.25,2016-05-03
18.3,8.9,13.8,0.0,26.2,3.94,2016-05-04
18.4,11.7,14.9,0.4,15.9,3.06,2016-05-05
18.8,10.9,14.8,2.7,18.2,2.83,2016-05-06
18.8,12.2,15.3,0.6,15.1,2.84,2016-05-07
20.4,10.5,15.6,0.0,7.5,3.21,2016-05-08
22.7,11.5,17.1,0.0,9.1,3.79,2016-05-09
22.6,12.0,17.8,0.1,18.6,4.42,2016-05-10
22.4,12.4,16.8,7.7,24.8,3.83,2016-05-11
14.9,10.6,13.1,9.8,28.2,1.46,2016-05-12
18.9,12.4,15.4,1.2,19.8,2.63,2016-05-13
21.8,13.0,17.3,10.8,25.8,3.45,2016-05-14
20.7,14.1,17.2,1.6,20.6,3.35,2016-05-15
20.9,13.9,17.4,2.8,14.9,3.39,2016-05-16
20.9,10.7,16.2,4.8,8.3,3.3,2016-05-17
21.1,12.8,16.5,23.7,12.9,2.87,2016-05-18
19.5,13.3,16.0,23.8,25.3,3.69,2016-05-19
17.7,11.2,14.6,0.0,21.4,3.74,2016-05-20
19.8,10.8,15.7,0.0,21.4,4.05,2016-05-21
21.7,12.3,17.5,0.0,9.7,3.52,2016-05-22
18.7,12.2,15.6,0.6,13.8,2.27,2016-05-23
20.6,10.1,15.9,1.7,9.2,3.16,2016-05-24
22.6,13.1,18.3,0.0,9.3,3.93,2016-05-25
23.8,12.6,18.8,0.3,10.6,4.11,2016-05-26
19.8,14.8,17.7,3.7,8.4,2.15,2016-05-27
25.2,13.3,19.4,8.3,16.3,4.28,2016-05-28
24.3,15.1,20.2,0.6,12.2,4.21,2016-05-29
22.7,16.8,19.3,10.9,15.2,3.0,2016-05-30
21.5,15.3,18.5,5.8,13.4,2.85,2016-05-31
23.5,15.6,18.7,11.3,21.7,3.59,2016-06-01
20.3,14.7,16.5,0.0,16.6,3.07,2016-06-02
